category,bullet,how_to_customize
RAG,"Built a RAG pipeline over policy documents with metadata filtering, citation grounding, and scheduled re-indexing.","Replace policy documents with your domain and add scale, such as document count or refresh cadence."
RAG,"Improved retrieval quality by comparing vector search, keyword search, and reranking on a 10-question golden set.","Add before/after metric if you have one, such as hit rate or citation accuracy."
RAG,"Designed chunking strategy for SOP documents using section headers, effective dates, and region tags.","Name the document type and metadata fields used in your project."
RAG,"Added ACL-aware retrieval so users only receive answers from documents they are allowed to access.","Mention user roles and permission checks."
RAG,"Maintained a 20-case failure library covering missing documents, wrong retrieval, answer drift, bad citations, and permission gaps.","Link this to your eval process or README."
Agent,"Implemented a customer ticket agent with structured tool schemas for ticket lookup, note creation, and approval requests.","Name the tools and the business workflow."
Agent,"Added human approval gates for refunds, account deletion, and billing changes to prevent unsafe autonomous actions.","Replace actions with your high-risk operations."
Agent,"Built retry, timeout, fallback, and idempotency handling for external tool calls.","Add concrete APIs or services."
Agent,"Logged agent decisions, tool inputs, tool outputs, and approval status for auditability.","Mention trace viewer, logs, or dashboard."
Agent,"Separated task state, short-term context, and PII to avoid unsafe memory behavior.","Add memory store or privacy controls if relevant."
Eval,"Created a golden set with expected answers and scoring criteria for answer quality, groundedness, and citation accuracy.","Add number of cases and scoring rubric."
Eval,"Compared prompt versions using regression tests instead of manual cherry-picked examples.","Add version names and improvement metric."
Eval,"Instrumented traces to capture model, prompt version, retrieval hits, latency, and estimated token cost.","Add tools such as OpenTelemetry, LangSmith, Phoenix, or logs."
Eval,"Diagnosed failures by separating retrieval miss, poor chunking, rerank issue, prompt issue, and model hallucination.","Tie this to your failure case library."
Eval,"Built safety test cases for prompt injection, PII leakage, and unauthorized document access.","Mention how many attack cases passed."
Production,"Deployed the AI service behind an API with rate limiting, structured logging, and rollback-ready prompt versions.","Add hosting stack and deployment method."
Production,"Reduced avoidable model calls through caching and deterministic routing for low-risk FAQ requests.","Add cost or latency improvement if available."
Production,"Added cost and latency dashboards to identify expensive prompts and slow retrieval paths.","Mention metrics collected."
Production,"Documented architecture trade-offs across vector database, reranker, model choice, and hosting setup.","Link to architecture doc or README."
Production,"Worked with product and support stakeholders to define safe rollout scope, escalation rules, and acceptance criteria.","Replace stakeholders and scope with your real context."
