domain,question,score_0,score_1,score_2,my_score,evidence,next_action
RAG,"Can I independently design chunk size, overlap, and metadata?",No,Partly or tutorial only,Yes with project evidence,,,
RAG,"Can I explain when hybrid search or rerank improves retrieval?",No,Partly or tutorial only,Yes with project evidence,,,
RAG,"Can I enforce document permission and citation rules?",No,Partly or tutorial only,Yes with project evidence,,,
RAG,"Do I maintain failure cases for retrieval and citation errors?",No,Partly or fewer than 10 cases,Yes with 20 cases,,,
Agent,"Can I write clear tool schemas with inputs, outputs, and error codes?",No,Partly or toy only,Yes with project evidence,,,
Agent,"Can I require human approval for high-risk actions?",No,Partly or manual only,Yes with workflow evidence,,,
Agent,"Can I handle retries, timeouts, fallback, and idempotency?",No,Partly or unclear,Yes with logs/tests,,,
Agent,"Can I trace each agent decision and tool call?",No,Partly or console only,Yes with structured trace,,,
Eval,"Can I create a 10-question golden set with scoring criteria?",No,Partly or no criteria,Yes with CSV/report,,,
Eval,"Can I separate retrieval miss, answer drift, and citation error?",No,Partly,Yes with failure taxonomy,,,
Eval,"Can I compare prompt versions with regression tests?",No,Partly or manual only,Yes with report,,,
Eval,"Can I measure quality, groundedness, latency, and cost?",No,Partly,Yes with dashboard/logs,,,
LLMOps,"Can I log model, prompt version, token use, latency, and cost?",No,Partly,Yes with trace fields,,,
LLMOps,"Can I use caching or deterministic routing for low-risk requests?",No,Partly,Yes with implementation,,,
LLMOps,"Can I explain rate limits and rollback plans?",No,Partly,Yes with deployment docs,,,
LLMOps,"Can I diagnose a sudden cost increase?",No,Partly,Yes with trace aggregation,,,
Safety,"Can I test prompt injection attempts?",No,Partly,Yes with attack cases,,,
Safety,"Can I prevent PII leakage in answers and logs?",No,Partly,Yes with redaction checks,,,
Safety,"Can I enforce user permissions before retrieval and tool calls?",No,Partly,Yes with ACL tests,,,
Safety,"Can I explain guardrail limitations?",No,Partly,Yes with trade-off notes,,,
Product,"Can I define user scenario, acceptance criteria, and rollout scope?",No,Partly,Yes with PRD/README,,,
Product,"Can I explain when not to use an LLM?",No,Partly,Yes with examples,,,
Product,"Can I turn project work into JD-matched resume bullets?",No,Partly,Yes with tailored bullets,,,
Product,"Can I discuss trade-offs with product, data, and security stakeholders?",No,Partly,Yes with concrete examples,,,
